"name"	"qty"	"nutrients.calories"	"nutrients.carbs"	"nutrients.fat"	"nutrients.protein"	"mealTime"	"isLikedBy"	"isCompound"	"priority"	"multiple"	"addedSince"
"Boiled Eggs"	"1 medium"	"68 cal"	"0.5g"	"4.7g"	"5.5g"	"B"	"K,G"	""	"ALWAYS"	"3"	"2022/3/14"
"Milk"	"100 ml"	"58.2 cal"	"4.8g"	"3g"	"3g"	"B"	"K"	""	"NEVER"	"1"	"2022/3/14"
"Muesli"	"40g"	"159 cal"	"32.2g"	"2.4g"	"3.2g"	"B"	"K"	""	"NEVER"	"5"	"2022/3/14"
"Besan chila"	"1 medium"	"109 cal"	"10.8g"	"5.4g"	"4.1g"	"B"	"K,G"	""	"NORMAL"	"3"	"2022/3/14"
"Mixed Dal Dosa"	"1 medium"	"151 cal"	"21.9g"	"5g"	"4.4g"	"B"	"K,G"	""	"NORMAL"	"3"	"2022/3/14"
"Spinach and cheese Omelette"	"3 eggs"	"493 cal"	"10g"	"37g"	"20g"	"B"	"G"	""	"NEVER"	"1"	"2022/3/14"
"Pesarattu"	"1 medium"	"154 cal"	"18.5g"	"5.5g"	"7.8g"	"B"	"K,G"	""	"NORMAL"	"3"	"2022/3/14"
"Soya curry"	"150g"	"110 cal"	"9.5g"	"5.7g"	"5.6g"	"B"	"K,G"	""	"LOW"	"1"	"2022/3/14"
"Moong Sprouts"	"80g"	"24 cal"	"4.8g"	"0.1g"	"2.4g"	"B"	"K"	""	"LOW"	"1.5"	"2022/3/14"
"Muesli + Milk"	""	""	""	""	""	"B"	"K"	"Muesli,Milk"	"ALWAYS"	""	"2022/3/14"
